,company_name,name_of_revenue_stream,paid_to,value_reported
0,Myanmar Win Gate Gems Jewellery Mining,Customs Duties,Customs Department,0.0
0,Myanmar Win Gate Gems Jewellery Mining,Sales Royalties,Internal Revenue Department,0.0
0,Khaing Lon Gems CoLtd,Sale Split,Myanmar Gems Enterprise,526447560.52
0,Khaing Lon Gems CoLtd,Sales Royalties,Myanmar Gems Enterprise,164905485.92
0,Khaing Lon Gems CoLtd,Emporium Fees,Central Comittee,33359405.96
0,Khaing Lon Gems CoLtd,Other significant payments,Myanmar Gems Enterprise,0.0
0,Khaing Lon Gems CoLtd,Production Royalties,Myanmar Gems Enterprise,24421780.0
0,Khaing Lon Gems CoLtd,Production Royalties,Department of Mines,0.0
0,Khaing Lon Gems CoLtd,Permit Fees,Myanmar Gems Enterprise,248000000.0
0,Khaing Lon Gems CoLtd,Incentive Fees,Myanmar Gems Enterprise,21201592.84
0,Khaing Lon Gems CoLtd,Commercial Tax,Myanmar Gems Enterprise,531203277.0
0,Khaing Lon Gems CoLtd,Corporate Income Tax,Internal Revenue Department,0.0
0,Khaing Lon Gems CoLtd,Commercial Tax,Internal Revenue Department,0.0
0,Khaing Lon Gems CoLtd,Customs Duties,Customs Department,0.0
0,Khaing Lon Gems CoLtd,Sales Royalties,Internal Revenue Department,0.0
0,Chaow Brothers Gemstone,Sale Split,Myanmar Gems Enterprise,581269749.78
0,Chaow Brothers Gemstone,Sales Royalties,Myanmar Gems Enterprise,157717450.68
0,Chaow Brothers Gemstone,Emporium Fees,Central Comittee,29028763.54
0,Chaow Brothers Gemstone,Other significant payments,Myanmar Gems Enterprise,0.0
0,Chaow Brothers Gemstone,Production Royalties,Myanmar Gems Enterprise,0.0
0,Chaow Brothers Gemstone,Production Royalties,Department of Mines,61440940.0
0,Chaow Brothers Gemstone,Permit Fees,Myanmar Gems Enterprise,35000000.0
0,Chaow Brothers Gemstone,Incentive Fees,Myanmar Gems Enterprise,20277726.06
0,Chaow Brothers Gemstone,Commercial Tax,Myanmar Gems Enterprise,475185656.6
0,Chaow Brothers Gemstone,Corporate Income Tax,Internal Revenue Department,3157438.0
