,company_name,name_of_revenue_stream,paid_to,value_reported
0,Kyay Sin Phyu,Commercial Tax,Myanmar Gems Enterprise,0.0
0,Kyay Sin Phyu,Corporate Income Tax,Internal Revenue Department,0.0
0,Kyay Sin Phyu,Commercial Tax,Internal Revenue Department,0.0
0,Kyay Sin Phyu,Customs Duties,Customs Department,0.0
0,Kyay Sin Phyu,Sales Royalties,Internal Revenue Department,0.0
0,HTOO JEWELLERY COLTD,Sale Split,Myanmar Gems Enterprise,546249433.32
0,HTOO JEWELLERY COLTD,Sales Royalties,Myanmar Gems Enterprise,538458900.98
0,HTOO JEWELLERY COLTD,Emporium Fees,Central Comittee,70027553.16
0,HTOO JEWELLERY COLTD,Other significant payments,Myanmar Gems Enterprise,0.0
0,HTOO JEWELLERY COLTD,Production Royalties,Myanmar Gems Enterprise,7131010.0
0,HTOO JEWELLERY COLTD,Production Royalties,Department of Mines,0.0
0,HTOO JEWELLERY COLTD,Permit Fees,Myanmar Gems Enterprise,0.0
0,HTOO JEWELLERY COLTD,Incentive Fees,Myanmar Gems Enterprise,13671675.16
0,HTOO JEWELLERY COLTD,Commercial Tax,Myanmar Gems Enterprise,0.0
0,HTOO JEWELLERY COLTD,Corporate Income Tax,Internal Revenue Department,0.0
0,HTOO JEWELLERY COLTD,Commercial Tax,Internal Revenue Department,0.0
0,HTOO JEWELLERY COLTD,Customs Duties,Customs Department,0.0
0,HTOO JEWELLERY COLTD,Sales Royalties,Internal Revenue Department,0.0
0,Ngwe Hein Htet Gems Jewellery,Sale Split,Myanmar Gems Enterprise,25299906.06
0,Ngwe Hein Htet Gems Jewellery,Sales Royalties,Myanmar Gems Enterprise,850116906.21
0,Ngwe Hein Htet Gems Jewellery,Emporium Fees,Central Comittee,109300331.14
0,Ngwe Hein Htet Gems Jewellery,Other significant payments,Myanmar Gems Enterprise,0.0
0,Ngwe Hein Htet Gems Jewellery,Production Royalties,Myanmar Gems Enterprise,12995360.0
0,Ngwe Hein Htet Gems Jewellery,Production Royalties,Department of Mines,0.0
0,Ngwe Hein Htet Gems Jewellery,Permit Fees,Myanmar Gems Enterprise,0.0
0,Ngwe Hein Htet Gems Jewellery,Incentive Fees,Myanmar Gems Enterprise,1303924.05
0,Ngwe Hein Htet Gems Jewellery,Commercial Tax,Myanmar Gems Enterprise,0.0
0,Ngwe Hein Htet Gems Jewellery,Corporate Income Tax,Internal Revenue Department,141310.0
0,Ngwe Hein Htet Gems Jewellery,Commercial Tax,Internal Revenue Department,0.0
0,Ngwe Hein Htet Gems Jewellery,Customs Duties,Customs Department,0.0
0,Ngwe Hein Htet Gems Jewellery,Sales Royalties,Internal Revenue Department,0.0
0,Lyan Shan Jewellery Co Ltd,Sale Split,Myanmar Gems Enterprise,1111178313.28
0,Lyan Shan Jewellery Co Ltd,Sales Royalties,Myanmar Gems Enterprise,216338007.6
0,Lyan Shan Jewellery Co Ltd,Emporium Fees,Central Comittee,33384367.26
0,Lyan Shan Jewellery Co Ltd,Other significant payments,Myanmar Gems Enterprise,0.0
0,Lyan Shan Jewellery Co Ltd,Production Royalties,Myanmar Gems Enterprise,17637250.0
0,Lyan Shan Jewellery Co Ltd,Production Royalties,Department of Mines,0.0
0,Lyan Shan Jewellery Co Ltd,Permit Fees,Myanmar Gems Enterprise,2000000.0
0,Lyan Shan Jewellery Co Ltd,Incentive Fees,Myanmar Gems Enterprise,24625897.01
0,Lyan Shan Jewellery Co Ltd,Commercial Tax,Myanmar Gems Enterprise,0.0
0,Lyan Shan Jewellery Co Ltd,Corporate Income Tax,Internal Revenue Department,0.0
0,Lyan Shan Jewellery Co Ltd,Commercial Tax,Internal Revenue Department,0.0
0,Lyan Shan Jewellery Co Ltd,Customs Duties,Customs Department,0.0
0,Lyan Shan Jewellery Co Ltd,Sales Royalties,Internal Revenue Department,0.0
0,Yadanar Pyi Phyo Aung Gems And Jewellery Co Ltd,Sale Split,Myanmar Gems Enterprise,0.0
0,Yadanar Pyi Phyo Aung Gems And Jewellery Co Ltd,Sales Royalties,Myanmar Gems Enterprise,813785928.67
0,Yadanar Pyi Phyo Aung Gems And Jewellery Co Ltd,Emporium Fees,Central Comittee,116317519.33
0,Yadanar Pyi Phyo Aung Gems And Jewellery Co Ltd,Other significant payments,Myanmar Gems Enterprise,0.0
0,Yadanar Pyi Phyo Aung Gems And Jewellery Co Ltd,Production Royalties,Myanmar Gems Enterprise,60703160.0
0,Yadanar Pyi Phyo Aung Gems And Jewellery Co Ltd,Production Royalties,Department of Mines,0.0
0,Yadanar Pyi Phyo Aung Gems And Jewellery Co Ltd,Permit Fees,Myanmar Gems Enterprise,1000000.0
